TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22017021200,32.487091,-93.7379,3293,1098,1012,Caddo,22017,7,986,-10434855.296030799,3827420.096488553
22017021300,32.495937,-93.720894,2370,650,589,Caddo,22017,7,987,-10432962.196770368,3828587.572548185
22017021400,32.487526,-93.710503,2398,667,599,Caddo,22017,7,988,-10431805.475941535,3827477.504169728
22017021500,32.475399,-93.72995,2311,787,721,Caddo,22017,7,989,-10433970.306078993,3825877.1875543497
22017021600,32.475525,-93.74659,3819,1656,1558,Caddo,22017,7,990,-10435822.662405793,3825893.8137975386
22017021700,32.475948,-93.767212,1668,603,515,Caddo,22017,7,991,-10438118.29294493,3825949.63064131
22017021800,32.487194,-93.768623,1153,473,434,Caddo,22017,7,992,-10438275.36474644,3827433.689546605
22017021900,32.497841,-93.773422,1266,375,340,Caddo,22017,7,993,-10438809.586982757,3828838.873388899
22017022000,32.505325,-93.787132,1847,509,471,Caddo,22017,7,994,-10440335.777201533,3829826.7061904054
22017022100,32.494217,-93.794441,5825,1623,1480,Caddo,22017,7,995,-10441149.411359742,3828360.5616558935
22017022200,32.475258,-93.817192,5357,1368,1246,Caddo,22017,7,996,-10443682.04109478,3825858.582024084
22017022300,32.478424,-93.788689,2445,595,527,Caddo,22017,7,997,-10440509.1016487,3826276.3557727356
22017022400,32.46394,-93.786407,3026,660,571,Caddo,22017,7,998,-10440255.070570707,3824365.220380663
22017022500,32.463226,-93.766479,5045,1093,986,Caddo,22017,7,999,-10438036.695758179,3824271.017431344
22017022600,32.461884,-93.746086,2986,1659,1583,Caddo,22017,7,1000,-10435766.557382433,3824093.9601273807
22017022700,32.462879,-93.728447,2481,956,883,Caddo,22017,7,2,-10433802.99288433,3824225.235595392
22017022800,32.466053,-93.715553,3949,1606,1500,Caddo,22017,7,4,-10432367.639370041,3824644.0074339802
22017022900,32.469406,-93.700279,4468,1621,1503,Caddo,22017,7,7,-10430667.345467664,3825086.412242117
22017023000,32.450523,-93.717415,4612,2136,1992,Caddo,22017,7,9,-10432574.916261898,3822595.147755184
22017023100,32.445194,-93.737206,1453,785,725,Caddo,22017,7,12,-10434778.040304188,3821892.178702865
22017023200,32.448002,-93.751564,1547,310,279,Caddo,22017,7,15,-10436376.365553,3822262.587689303
22017023300,32.448986,-93.768181,2482,468,416,Caddo,22017,7,16,-10438226.16153151,3822392.3918598965
22017023400,32.444378,-93.791077,6596,1467,1311,Caddo,22017,7,20,-10440774.932592712,3821784.5406487365
22017023500,32.456905,-93.802963,3389,846,763,Caddo,22017,7,22,-10442098.076060282,3823437.0768305575
22017023600,32.460526,-93.819267,3137,795,713,Caddo,22017,7,27,-10443913.029038174,3823914.7945425096
22017023700,32.433613,-93.765991,6757,1336,1190,Caddo,22017,7,32,-10437982.371846674,3820364.6273873835
22017023800,32.429756,-93.740204,5387,2285,2120,Caddo,22017,7,37,-10435111.776137587,3819855.926842605
22017023901,32.431133,-93.692223,6613,2980,2762,Caddo,22017,7,39,-10429770.555649834,3820037.537166107
22017023903,32.401455,-93.741623,4262,1749,1611,Caddo,22017,7,45,-10435269.738495022,3816123.967212786
22017023904,32.431915,-93.722588,3325,1423,1323,Caddo,22017,7,52,-10433150.771987772,3820140.6751276925
22017023905,32.417362,-93.710907,4586,1862,1735,Caddo,22017,7,59,-10431850.449015817,3818221.4268270507
22017024000,32.319374,-93.625298,12175,6039,5628,Caddo,22017,7,65,-10422320.498728493,3805306.8262450346
22017024102,32.350677,-93.801636,3676,1209,1129,Caddo,22017,7,171,-10441950.355095997,3809430.9707236234
22017024104,32.412773,-93.778435,7496,2000,1810,Caddo,22017,7,177,-10439367.631590104,3817616.2941348706
22017024106,32.398598,-93.827965,7438,2190,1987,Caddo,22017,7,184,-10444881.285969095,3815747.289065587
22017024107,32.421772,-93.804306,5135,1432,1290,Caddo,22017,7,193,-10442247.578136416,3818802.9845220395
22017024108,32.388737,-93.80127,6516,2250,2051,Caddo,22017,7,194,-10441909.612162368,3814447.26749114
22017024109,32.391548,-93.776154,4158,1240,1153,Caddo,22017,7,195,-10439113.711831605,3814817.8402531594
22017024201,32.420563,-93.851997,4547,1338,1218,Caddo,22017,7,196,-10447556.515971838,3818643.54784923
22017024202,32.360027,-93.892059,6960,2172,2012,Caddo,22017,7,197,-10452016.197412,3810663.102285907
22017024203,32.28204,-93.961533,4807,1287,1193,Caddo,22017,7,198,-10459750.00771537,3800389.9658610765
22017024301,32.482319,-93.954903,6694,2581,2405,Caddo,22017,7,199,-10459011.959491411,3826790.345847768
22017024303,32.43576,-93.883781,5639,1465,1326,Caddo,22017,7,200,-10451094.694667213,3820647.805098634
22017024304,32.414436,-93.980637,5048,1553,1443,Caddo,22017,7,201,-10461876.655267486,3817835.583598946
22017024400,32.488129,-93.843201,4594,1823,1682,Caddo,22017,7,202,-10446577.349730821,3827557.0835522995
22017024503,32.611012,-93.847511,5245,1221,1107,Caddo,22017,7,203,-10447057.13673614,3843785.4040374104
22017024504,32.626579,-93.977058,6438,1359,1230,Caddo,22017,7,204,-10461478.242809936,3845842.8190915897
22017024601,32.56316,-93.819397,5187,891,781,Caddo,22017,7,205,-10443927.500571977,3837463.2747584144
22017024602,32.53228,-93.798203,5034,1150,1031,Caddo,22017,7,206,-10441568.195284106,3833385.248969902
22017024700,32.580898,-93.788437,1840,691,645,Caddo,22017,7,207,-10440481.049137019,3839806.397165485
22017024800,32.704418,-93.833992,918,263,238,Caddo,22017,7,208,-10445552.208540106,3856135.797348924
22017024900,32.82114,-93.977318,3451,548,498,Caddo,22017,7,209,-10461507.185877543,3871587.283140364
22017025000,32.872864,-93.979042,3627,785,711,Caddo,22017,7,210,-10461699.100679671,3878440.9188492615
22017025100,32.938946,-93.897247,1776,347,314,Caddo,22017,7,211,-10452593.722930234,3887202.8671875857
22017025200,32.499611,-93.76091,876,441,404,Caddo,22017,7,212,-10437416.757513952,3829072.49291239
22017025300,32.50893,-93.745659,1484,439,381,Caddo,22017,7,213,-10435719.023959864,3830302.568941687
22017025405,32.584476,-93.869049,4624,1361,1265,Caddo,22017,7,214,-10449454.735928847,3840279.0935491845
22017025406,32.546288,-93.908768,4239,1232,1153,Caddo,22017,7,215,-10453876.234783664,3835234.9775066483
22017980000,32.445953,-93.825157,0,,,Caddo,22017,7,216,-10444568.700838948,3821992.298797146
22019000100,30.228519,-93.21331,2088,824,735,Calcasieu,22019,5,217,-10376458.204355557,3532957.780214012
22019000200,30.244415,-93.221222,1535,425,382,Calcasieu,22019,5,218,-10377338.964166712,3535005.9606404137
22019000300,30.256516,-93.200523,2106,479,422,Calcasieu,22019,5,219,-10375034.762026783,3536565.382008032
22019000400,30.23205,-93.198997,1060,306,270,Calcasieu,22019,5,220,-10374864.888483832,3533412.7166924207
22019000500,30.223404,-93.22718,3440,1457,1354,Calcasieu,22019,5,221,-10378002.20569286,3532298.789053335
22019000600,30.219086,-93.187233,7485,1881,1683,Calcasieu,22019,5,222,-10373555.32599414,3531742.506086575
22019000700,30.207621,-93.235741,4695,1291,1171,Calcasieu,22019,5,223,-10378955.21185354,3530265.6018168577
22019000800,30.205194,-93.210213,3534,797,689,Calcasieu,22019,5,224,-10376113.447892567,3529952.9813501616
22019000900,30.20376,-93.191635,3933,1531,1378,Calcasieu,22019,5,225,-10374045.354392612,3529768.2722623185
22019001000,30.187376,-93.227188,3497,1544,1423,Calcasieu,22019,5,226,-10378003.096248785,3527658.0910542635
22019001100,30.186663,-93.212051,4924,964,860,Calcasieu,22019,5,227,-10376318.053116648,3527566.2680199654
